date_purchased,gender,total_purchases
2000-01-01,female,73
2000-01-01,male,74
2000-01-02,female,4
2000-01-02,male,10
2000-01-03,female,4
2000-01-03,male,12
2000-01-04,female,163
2000-01-04,male,159
2000-01-05,female,204
2000-01-05,male,225
2000-01-06,female,66
2000-01-06,male,65
2000-01-08,female,5
2000-01-08,male,9
2000-01-09,female,61
2000-01-09,male,50
2000-01-10,female,11
2000-01-10,male,10
2000-01-11,female,144
2000-01-11,male,174
2000-01-12,female,170
2000-01-12,male,153
2000-01-13,female,295
2000-01-13,male,299
2000-01-14,female,131
2000-01-14,male,116
2000-01-15,female,43
2000-01-15,male,53
2000-01-16,female,33
2000-01-16,male,35
2000-01-17,female,187
2000-01-17,male,191
2000-01-18,female,134
2000-01-18,male,121
2000-01-19,female,26
2000-01-19,male,25
2000-01-20,female,113
2000-01-20,male,145
2000-01-21,female,30
2000-01-21,male,38
2000-01-22,female,220
2000-01-22,male,222
2000-01-23,female,27
2000-01-23,male,31
2000-01-24,female,56
2000-01-24,male,63
2000-01-25,female,11
2000-01-25,male,13
2000-01-26,female,12
2000-01-26,male,7
2000-01-27,female,70
2000-01-27,male,77
2000-01-28,female,11
2000-01-28,male,8
2000-01-29,female,12
2000-01-29,male,22
2000-01-30,female,197
2000-01-30,male,197
2000-01-31,female,55
2000-01-31,male,56
2000-02-01,female,8
2000-02-01,male,5
2000-02-02,female,93
2000-02-02,male,95
2000-02-03,female,27
2000-02-03,male,24
2000-02-04,female,32
2000-02-04,male,38
2000-02-05,female,117
2000-02-05,male,112
2000-02-06,female,2
2000-02-06,male,5
2000-02-07,female,385
2000-02-07,male,437
2000-02-08,female,4
2000-02-08,male,2
2000-02-09,female,648
2000-02-09,male,765
2000-02-10,female,39
2000-02-10,male,58
2000-02-11,female,118
2000-02-11,male,155
2000-02-12,female,193
2000-02-12,male,197
2000-02-13,female,18
2000-02-13,male,8
2000-02-14,female,288
2000-02-14,male,311
2000-02-15,female,75
2000-02-15,male,63
2000-02-16,female,5
2000-02-16,male,9
2000-02-17,female,6
2000-02-17,male,11
2000-02-18,female,34
2000-02-18,male,41
2000-02-19,female,94
2000-02-19,male,65
2000-02-20,female,92
2000-02-20,male,82
2000-02-21,female,63
2000-02-21,male,62
2000-02-22,female,35
2000-02-22,male,34
2000-02-23,female,276
2000-02-23,male,317
2000-02-24,female,227
2000-02-24,male,199
2000-02-25,female,296
2000-02-25,male,312
2000-02-26,female,77
2000-02-26,male,87
2000-02-27,female,1
2000-02-27,male,4
2000-02-28,female,171
2000-02-28,male,150
2000-02-29,female,120
2000-02-29,male,129
2000-03-01,female,24
2000-03-01,male,21
2000-03-02,female,53
2000-03-02,male,60
2000-03-03,female,18
2000-03-03,male,22
